orb_index = 2, gpp_a = 0.00341226
orb_index = 3, gpp_a = 0.00223009
orb_index = 4, gpp_a = 0.00222127
orb_index = 5, gpp_a = 0.00281371
orb_index = 6, gpp_a = 0.00285135
orb_index = 7, gpp_a = 0.00279352
orb_index = 8, gpp_a = 2.88878e-05
orb_index = 9, gpp_a = 2.88667e-05
orb_index = 10, gpp_a = 1.77339e-08
orb_index = 11, gpp_a = 1.30665e-08
orb_index = 12, gpp_a = 1.22798e-08
orb_index = 13, gpp_a = 1.4882e-08
orb_index = 14, gpp_a = 1.50747e-08
orb_index = 15, gpp_a = 1.47535e-08
orb_index = 16, gpp_a = 3.18484e-12
orb_index = 17, gpp_a = 1.1852e-13
orb_index = 18, gpp_a = 3.343e-14
orb_index = 19, gpp_a = 1.44748e-10
orb_index = 20, gpp_a = 4.82317e-11
orb_index = 21, gpp_a = 4.57824e-11
orb_index = 22, gpp_a = 1.52821e-11
orb_index = 23, gpp_a = 1.02664e-11
orb_index = 24, gpp_a = 1.75943e-09
orb_index = 25, gpp_a = 1.18111e-09
orb_index = 26, gpp_a = 2.29086e-09
orb_index = 27, gpp_a = 1.08603e-09
orb_index = 28, gpp_a = 1.02067e-09
orb_index = 29, gpp_a = 7.94043e-10
orb_index = 30, gpp_a = 7.92393e-10
orb_index = 31, gpp_a = 2.82337e-10
orb_index = 32, gpp_a = 1.79037e-10
orb_index = 33, gpp_a = 2.86994e-11
orb_index = 34, gpp_a = 7.88171e-10
orb_index = 35, gpp_a = 5.24003e-11
orb_index = 36, gpp_a = 2.06672e-11
orb_index = 37, gpp_a = 1.10877e-12
orb_index = 38, gpp_a = 1.19319e-12
orb_index = 39, gpp_a = 1.10481e-13
w = -19.993, A_a =  0.0331573472748
 orb_index = 0, gpp_a = 0.00843884
orb_index = 1, gpp_a = 0.00837202
orb_index = 2, gpp_a = 0.00341663
orb_index = 3, gpp_a = 0.0022324
orb_index = 4, gpp_a = 0.00222357
orb_index = 5, gpp_a = 0.00281699
orb_index = 6, gpp_a = 0.0028547
orb_index = 7, gpp_a = 0.00279677
orb_index = 8, gpp_a = 2.88915e-05
orb_index = 9, gpp_a = 2.88703e-05
orb_index = 10, gpp_a = 1.77566e-08
orb_index = 11, gpp_a = 1.30818e-08
orb_index = 12, gpp_a = 1.22929e-08
orb_index = 13, gpp_a = 1.48994e-08
orb_index = 14, gpp_a = 1.50924e-08
orb_index = 15, gpp_a = 1.47706e-08
orb_index = 16, gpp_a = 3.18898e-12
orb_index = 17, gpp_a = 1.18679e-13
orb_index = 18, gpp_a = 3.34728e-14
orb_index = 19, gpp_a = 1.44994e-10
orb_index = 20, gpp_a = 4.82977e-11
orb_index = 21, gpp_a = 4.5856e-11
orb_index = 22, gpp_a = 1.53011e-11
orb_index = 23, gpp_a = 1.02797e-11
orb_index = 24, gpp_a = 1.76279e-09
orb_index = 25, gpp_a = 1.18285e-09
orb_index = 26, gpp_a = 2.29585e-09
orb_index = 27, gpp_a = 1.08767e-09
orb_index = 28, gpp_a = 1.02203e-09
orb_index = 29, gpp_a = 7.95037e-10
orb_index = 30, gpp_a = 7.9335e-10
orb_index = 31, gpp_a = 2.82687e-10
orb_index = 32, gpp_a = 1.79264e-10
orb_index = 33, gpp_a = 2.87337e-11
orb_index = 34, gpp_a = 7.89092e-10
orb_index = 35, gpp_a = 5.24611e-11
orb_index = 36, gpp_a = 2.06916e-11
orb_index = 37, gpp_a = 1.1099e-12
orb_index = 38, gpp_a = 1.1945e-12
orb_index = 39, gpp_a = 1.10686e-13
w = -19.992, A_a =  0.0332097834905
 orb_index = 0, gpp_a = 0.00845577
orb_index = 1, gpp_a = 0.00838875
orb_index = 2, gpp_a = 0.003421
orb_index = 3, gpp_a = 0.00223472
orb_index = 4, gpp_a = 0.00222588
orb_index = 5, gpp_a = 0.00282028
orb_index = 6, gpp_a = 0.00285806
orb_index = 7, gpp_a = 0.00280003
orb_index = 8, gpp_a = 2.88951e-05
orb_index = 9, gpp_a = 2.88739e-05
orb_index = 10, gpp_a = 1.77794e-08
orb_index = 11, gpp_a = 1.30972e-08
orb_index = 12, gpp_a = 1.23061e-08
orb_index = 13, gpp_a = 1.49168e-08
orb_index = 14, gpp_a = 1.51101e-08
orb_index = 15, gpp_a = 1.47877e-08
orb_index = 16, gpp_a = 3.19315e-12
orb_index = 17, gpp_a = 1.1884e-13
orb_index = 18, gpp_a = 3.35158e-14
orb_index = 19, gpp_a = 1.4524e-10
orb_index = 20, gpp_a = 4.83638e-11
orb_index = 21, gpp_a = 4.59298e-11
orb_index = 22, gpp_a = 1.53202e-11
orb_index = 23, gpp_a = 1.02929e-11
orb_index = 24, gpp_a = 1.76616e-09
orb_index = 25, gpp_a = 1.18459e-09
orb_index = 26, gpp_a = 2.30085e-09
orb_index = 27, gpp_a = 1.08932e-09
orb_index = 28, gpp_a = 1.02339e-09
orb_index = 29, gpp_a = 7.96034e-10
orb_index = 30, gpp_a = 7.94309e-10
orb_index = 31, gpp_a = 2.83037e-10
orb_index = 32, gpp_a = 1.79491e-10
orb_index = 33, gpp_a = 2.87681e-11
orb_index = 34, gpp_a = 7.90015e-10
orb_index = 35, gpp_a = 5.2522e-11
orb_index = 36, gpp_a = 2.0716e-11
orb_index = 37, gpp_a = 1.11104e-12
orb_index = 38, gpp_a = 1.19581e-12
orb_index = 39, gpp_a = 1.10891e-13
w = -19.991, A_a =  0.0332623534022
 orb_index = 0, gpp_a = 0.00847275
orb_index = 1, gpp_a = 0.00840554
orb_index = 2, gpp_a = 0.00342538
orb_index = 3, gpp_a = 0.00223705
orb_index = 4, gpp_a = 0.00222819
orb_index = 5, gpp_a = 0.00282357
